ERROR 2025-05-22 15:48:12,605 views Error in paper search: 'title'
ERROR 2025-05-22 15:48:12,634 log Internal Server Error: /api/papers/search/
ERROR 2025-05-22 15:48:12,635 basehttp "GET /api/papers/search/?query=tes HTTP/1.1" 500 5397
WARNING 2025-05-22 15:48:12,696 log Not Found: /static/rest_framework/css/prettify.css
WARNING 2025-05-22 15:48:12,697 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,702 log Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2025-05-22 15:48:12,705 log Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2025-05-22 15:48:12,708 log Not Found: /static/rest_framework/js/csrf.js
WARNING 2025-05-22 15:48:12,715 log Not Found: /static/rest_framework/css/default.css
WARNING 2025-05-22 15:48:12,717 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,717 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,719 log Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2025-05-22 15:48:12,721 log Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2025-05-22 15:48:12,721 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,722 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,724 log Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2025-05-22 15:48:12,726 log Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2025-05-22 15:48:12,731 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,733 basehttp "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,734 log Not Found: /static/rest_framework/js/default.js
WARNING 2025-05-22 15:48:12,735 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,737 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2025-05-22 15:48:12,737 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
ERROR 2025-05-22 15:48:44,251 views Error in paper search: 'title'
ERROR 2025-05-22 15:48:44,256 log Internal Server Error: /api/papers/search/
ERROR 2025-05-22 15:48:44,260 basehttp "GET /api/papers/search/?query=%22Test%20text%20here%22 HTTP/1.1" 500 5494
WARNING 2025-05-22 15:48:44,359 log Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2025-05-22 15:48:44,360 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
